# Network Topology at time 0.0
# Node_ID X_Position Y_Position State
0 807.44 562.62 MOVING
1 156.71 900.36 MOVING
2 674.50 395.88 MOVING
3 377.03 757.30 MOVING
4 208.14 163.45 MOVING
5 876.86 430.50 MOVING
6 596.31 231.35 MOVING
7 69.21 201.32 MOVING
8 356.59 273.47 MOVING
9 421.23 590.86 MOVING
10 642.25 223.10 MOVING
11 28.92 994.76 MOVING
12 979.21 623.40 MOVING
13 100.06 729.21 MOVING
14 723.19 715.39 MOVING
15 108.25 377.64 MOVING
16 505.83 547.13 MOVING
17 682.83 401.10 MOVING
18 308.50 918.32 MOVING
19 30.37 430.79 MOVING
20 609.31 720.22 MOVING
21 681.87 159.67 MOVING
22 840.38 224.66 MOVING
23 71.50 622.76 MOVING
24 885.09 645.63 MOVING
