# Network Topology at time 4000.0
# Node_ID X_Position Y_Position State
0 205.13 593.26 MOVING
1 195.01 569.04 MOVING
2 137.21 116.30 MOVING
3 142.00 557.38 MOVING
4 646.61 603.64 MOVING
5 994.40 888.19 MOVING
6 675.01 930.50 MOVING
7 141.56 132.17 MOVING
8 247.22 996.14 MOVING
9 874.23 253.68 MOVING
10 854.97 496.68 MOVING
11 25.54 210.60 PAUSED
12 787.56 497.53 MOVING
13 857.68 72.81 MOVING
14 11.91 199.50 MOVING
15 469.82 309.22 MOVING
16 353.53 723.71 MOVING
17 208.39 450.18 MOVING
18 146.24 881.85 MOVING
19 724.16 994.89 MOVING
20 244.35 817.85 MOVING
21 205.45 13.75 MOVING
22 367.71 122.10 MOVING
23 871.57 463.43 MOVING
24 909.26 983.90 MOVING
