# Network Topology at time 0.0
# Node_ID X_Position Y_Position State
0 72.93 807.74 MOVING
1 394.90 167.77 MOVING
2 414.64 845.64 MOVING
3 357.29 32.10 MOVING
4 349.49 800.74 MOVING
5 110.86 277.20 MOVING
6 404.72 76.48 MOVING
7 148.59 290.57 MOVING
8 350.87 104.22 MOVING
9 939.02 159.86 MOVING
10 152.21 203.35 MOVING
11 41.98 635.57 MOVING
12 928.84 993.12 MOVING
13 644.93 280.48 MOVING
14 711.02 43.68 MOVING
15 333.45 264.56 MOVING
16 561.69 266.48 MOVING
17 419.05 942.04 MOVING
18 158.08 900.85 MOVING
19 780.11 260.48 MOVING
20 234.74 282.41 MOVING
21 935.52 347.01 MOVING
22 171.24 113.30 MOVING
23 638.68 217.45 MOVING
24 639.99 382.83 MOVING
