# Network Topology at time 2000.0
# Node_ID X_Position Y_Position State
0 148.95 725.55 MOVING
1 677.23 494.67 MOVING
2 194.16 278.33 MOVING
3 359.59 605.70 MOVING
4 897.36 768.34 MOVING
5 612.63 620.51 MOVING
6 560.98 348.65 MOVING
7 350.78 338.70 MOVING
8 718.50 471.34 MOVING
9 779.85 651.67 MOVING
10 419.02 419.84 MOVING
11 969.80 353.60 MOVING
12 539.84 427.21 MOVING
13 806.24 890.87 MOVING
14 456.25 497.23 MOVING
15 747.16 196.38 MOVING
16 164.96 740.84 MOVING
17 713.77 292.16 MOVING
18 879.87 814.39 MOVING
19 837.12 811.11 MOVING
20 375.97 521.73 MOVING
21 217.28 685.62 MOVING
22 894.93 69.33 MOVING
23 422.05 445.59 MOVING
24 768.65 297.96 MOVING
